ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Meta: _wp_desired_post_slug	Meta: _customize_changeset_uuid
442	simple		B?t ?n D?m Nestle Cerelac - Gà H?m Cà R?t (200g)	1	0	visible					taxable		1		0	0					1			65000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/8b/8c/68/b5f703a583e96d238e17717029ab515c.jpg									0		
443	simple		B?t ?n D?m Nestle Cerelac - Rau Xanh Và Bí ?? (200g)	1	0	visible					taxable		1		0	0					1			58000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/e5/26/3f/b56e95d2a48879d02fa077deaeaf0fde.jpg									0		
444	simple		B?t ?n D?m Nestle Cerelac - Cá Và Rau Xanh (200g)	1	0	visible					taxable		1		0	0					1			68000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/fe/80/2e/218d09788f39db6d2938e3775134f56b.jpg									0		
445	simple		S?a Enfagrow A + 4 360° Brain DHA+ MFGM PRO H??ng Vanilla (900g)	1	0	visible					taxable		1		0	0					1			459000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5429.d20170724.t110804.75242.jpg									0		
446	simple		S?a B?t Mead Johnson Enfamama A+ Chocolate MAC906F (900g)	1	0	visible					taxable		1		0	0					1			469000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/14/dd/23/7813c5d8c5086752883c4d66f66fac68.jpg									0		
447	simple		L?c 3 H?p S?a Enfamil A+4 360 Brain Plus Vanilla (180ml/H?p)	1	0	visible					taxable		1		0	0					1			54000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/a2/d2/cf/56b41e6020736591f9e76dadd68848bc.jpg									0		
448	simple		S?a Enfagrow A + 3 360° Brain DHA+ MFGM PRO H??ng Vanilla (1800g)	1	0	visible					taxable		1		0	0					1			930000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5429.d20170724.t110002.688485.jpg									0		
449	simple		Bánh ?n D?m Gerber V? Dâu Táo (42g)	1	0	visible					taxable		1		0	0					1			68000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/9d/7a/97/9413be1da60188960c7b763af63794e1.jpg									0		
450	simple		Bánh ?n D?m Gerber V? Vi?t Qu?t (42g)	1	0	visible					taxable		1		0	0					1			68000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/e4/fb/d7/cb0ec5fc7a2377a253c92ef8e16007a4.jpg									0		
451	simple		S?n Ph?m Dinh D??ng Nestle Nutren Junior (800g)	1	0	visible					taxable		1		0	0					1			530000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/1c/05/00/a66be6a0e5df00ffa8e7c719a5443a3e.jpg									0		
452	simple		CRM - S?n Ph?m Dinh D??ng Nestle Peptamen (400g)	1	0	visible					taxable		1		0	0					1			480000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/ef/1c/df/e1328d068243f0336acca10871b5bbc7.jpg									0		
453	simple		S?n Ph?m Dinh D??ng Nestle Nutren Diabetes (400g)	1	0	visible					taxable		1		0	0					1			320000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/10/c7/24/c3e0c70c2641fe3b6c8b5cb7f74a3a70.jpg									0		
454	simple		S?n Ph?m Dinh D??ng Nestle Nutren Optimum (400g)	1	0	visible					taxable		1		0	0					1			310000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u2409.d20170529.t091342.274244.jpg									0		
455	simple		S?a B?t Abbott Grow School G-Power Vanilla GSGM Dành Cho Tr? T? 6 Tu?i Tr? Lên (900g)	1	0	visible					taxable		1		0	0					1			373000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/07/f9/23/4d0af96a9cd2538120978ae76e7300cf.jpg									0		
456	simple		S?a B?t Abbott Grow 1 AG1M (900g)	1	0	visible					taxable		1		0	0					1			311000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/5/0/5099864008883_1.u2442.d20160707.t164237.jpg									0		
457	simple		L?c 4 H?p S?a Công Th?c Pha S?n Abbott Grow Gold H??ng Vani (180ml)	1	0	visible					taxable		1		0	0					1			58000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/5/0/5099864008654_2-u2442-d20160718-t095110.u3075.d20170223.t115305.541904.jpg									0		
458	simple		S?a B?t Abbott Grow 4 DHA AW4M Dành Cho Tr? 2 Tu?i Tr? Lên (900g)	1	0	visible					taxable		1		0	0					1			298000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/33/93/5c/4a346cc0934f348e27a22dc1278aa3f6.jpg									0		
459	simple		S?a B?t Abbott Grow G-Power Vanilla GGL Dành Cho Tr? T? 3 - 6 Tu?i (1700g)	1	0	visible					taxable		1		0	0					1			623000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/6f/b9/d7/977fc1e766c309ecb4ad1aa40773095c.jpg									0		
